DATE,Botswana,Lesotho,Namibia,SouthAfrica,Swaziland
1950,0.0193978,0.0236768,0.0241586,0.021176,0.023289
1951,0.0191044,0.0232004,0.0235498,0.020738,0.022935
1952,0.018811,0.022724,0.022941,0.0203,0.022581
1953,0.0185176,0.0222476,0.0223322,0.019862,0.022227
1954,0.0182242,0.0217712,0.0217234,0.019424,0.021873
1955,0.0179308,0.0212948,0.0211146,0.018986,0.021519
1956,0.0176374,0.0208184,0.0205058,0.018548,0.021165
1957,0.017344,0.020342,0.019897,0.01811,0.020811
1958,0.0169984,0.0199366,0.019399,0.01782,0.020573
1959,0.0166528,0.0195312,0.018901,0.01753,0.020335
1960,0.0163072,0.0191258,0.018403,0.01724,0.020097
1961,0.0159616,0.0187204,0.017905,0.01695,0.019859
1962,0.015616,0.018315,0.017407,0.01666,0.019621
1963,0.0152988,0.0182082,0.0170134,0.0162766,0.0194066
1964,0.0149816,0.0181014,0.0166198,0.0158932,0.0191922
1965,0.0146644,0.0179946,0.0162262,0.0155098,0.0189778
1966,0.0143472,0.0178878,0.0158326,0.0151264,0.0187634
1967,0.01403,0.017781,0.015439,0.014743,0.018549
1968,0.0136254,0.017595,0.0151144,0.014423,0.018128
1969,0.0132208,0.017409,0.0147898,0.014103,0.017707
1970,0.0128162,0.017223,0.0144652,0.013783,0.017286
1971,0.0124116,0.017037,0.0141406,0.013463,0.016865
1972,0.012007,0.016851,0.013816,0.013143,0.016444
1973,0.0115906,0.0164938,0.0134798,0.0128466,0.016003
1974,0.0111742,0.0161366,0.0131436,0.0125502,0.015562
1975,0.0107578,0.0157794,0.0128074,0.0122538,0.015121
1976,0.0103414,0.0154222,0.0124712,0.0119574,0.01468
1977,0.009925,0.015065,0.012135,0.011661,0.014239
1978,0.0096106,0.0146498,0.011793,0.0113096,0.0137952
1979,0.0092962,0.0142346,0.011451,0.0109582,0.0133514
1980,0.0089818,0.0138194,0.011109,0.0106068,0.0129076
1981,0.0086674,0.0134042,0.010767,0.0102554,0.0124638
1982,0.008353,0.012989,0.010425,0.009904,0.01202
1983,0.008087,0.0127194,0.0102326,0.0096392,0.0116836
1984,0.007821,0.0124498,0.0100402,0.0093744,0.0113472
1985,0.007555,0.0121802,0.0098478,0.0091096,0.0110108
