"DATE","Botswana","Lesotho","Namibia","SouthAfrica","Swaziland"
1950,0,0,0,0,0
1951,0,0,0,0,0
1952,0,0,0,0,0
1953,0,0,0,0,0
1954,0,0,0,0,0
1955,0,0,0,0,0
1956,0,0,0,0,0
1957,0,0,0,0,0
1958,0,0,0,0,0
1959,0,0,0,0,0
1960,0,0,0,0,0
1961,0,0,0,0,0
1962,0,0,0,0,0
1963,0,0,0,0,0
1964,0,0,0,0,0
1965,0,0,0,0,0
1966,0,0,0,0,0
1967,0,0,0,0,0
1968,0,0,0,0,0
1969,0,0,0,0,0
1970,0,0,0,0,0
1971,0,0,0,0,0
1972,0,0,0,0,0
1973,0,0,0,0,0
1974,0,0,0,0,0
1975,0,0,0,0,0
1976,0,0,0,0,0
1977,0,0,0,0,0
1978,0,0,0,0,0
1979,0,0,0,0,0
1980,0,0,0,0,0
1981,0,0,0,0,0
1982,0,0,0,0,0
1983,0,0,0,0,0
1984,0,0,0,0,0
1985,0,0,0,0,0
1986,0,0,0,0,0
1987,0,0,0,0,0
1988,0,0,0,0,0
1989,0,0,0,0,0
1990,0.434636312378825,1.8723906070637,0.295153652790753,1.21058477193297,0.946786787595096
1991,0.466727905057995,1.88393282766488,0.330055108225177,1.20326557313938,0.952362656365379
1992,0.500649981717038,1.89549897596604,0.368377266995703,1.19596928458055,0.957958125066689
1993,0.536440679868226,1.90708882556295,0.410307701506584,1.18869600152475,0.963573152655359
1994,0.574131821921908,1.91870215108077,0.456016933529471,1.18144581857355,0.96920769741019
1995,0.613748446310012,1.93033872819599,0.50565379053803,1.17421882964594,0.97486171693879
1996,0.655308430097659,1.94199833365769,0.559341072320356,1.16701512796249,0.980535168183977
1997,0.698822214970888,1.95368074530809,0.617171778776042,1.15983480602954,0.986228007430275
1998,0.744292645432635,1.96538574210239,0.679206134890137,1.15267795562335,0.991940190310475
1999,0.79171492449968,1.97711310412796,0.745469609836104,1.14554466777433,0.997671671812282
2000,0.841076688359796,1.98886261262280,0.815952066410229,1.13843503275128,1.00342240628502
2001,0.892358197532737,2.00063404999337,0.890608100486852,1.13134914004566,1.00919234744642
2002,0.94553263830041,2.01242719983175,0.969358546587188,1.12428707835591,1.01498144838948
2003,1.00056652474021,2.02424184693211,1.05209304490655,1.11724893557178,1.02078966158935
2004,1.05742018878766,2.03607777730655,1.13867349667558,1.11023479875875,1.02661693891036
2005,1.11604834350894,2.04793477820034,1.22893818580972,1.10324475414250,1.03246323161305
2006,1.17640070326244,2.05981263810645,1.32270631941417,1.09627888709342,1.03832849036124
2007,1.23842264370248,2.07171114677951,1.41978273820856,1.08933728211118,1.04421266522923
2008,1.30205588460147,2.08363009524916,1.51996256741314,1.08242002280943,1.05011570570901
2009,1.36723917917073,2.09556927583274,1.62303561389797,1.07552719190048,1.05603756071752
2010,1.43390899483849,2.10752848214744,1.72879036017015,1.06865887118015,1.06197817860401
2011,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2012,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2013,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2014,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2015,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2016,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2017,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2018,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2019,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2020,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2021,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2022,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2023,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2024,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2025,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2026,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2027,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2028,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2029,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2030,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2031,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2032,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2033,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2034,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2035,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2036,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2037,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2038,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2039,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2040,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2041,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
2042,1.50200017216714,2.11950750912184,1.837017453858,1.06181514151266,1.06793750715734
