"DATE","Botswana","Lesotho","Namibia","SouthAfrica","Swaziland"
1950,0,0,0,0,0
1951,0,0,0,0,0
1952,0,0,0,0,0
1953,0,0,0,0,0
1954,0,0,0,0,0
1955,0,0,0,0,0
1956,0,0,0,0,0
1957,0,0,0,0,0
1958,0,0,0,0,0
1959,0,0,0,0,0
1960,0,0,0,0,0
1961,0,0,0,0,0
1962,0,0,0,0,0
1963,0,0,0,0,0
1964,0,0,0,0,0
1965,0,0,0,0,0
1966,0,0,0,0,0
1967,0,0,0,0,0
1968,0,0,0,0,0
1969,0,0,0,0,0
1970,2.53118060645776e-06,8.4691924852619e-06,4.46600898520199e-06,2.35609259196993e-07,6.7921537836161e-06
1971,3.85480328294224e-06,1.14459885080999e-05,6.31079740909491e-06,3.75259247610845e-07,9.58762137537425e-06
1972,5.87058399241502e-06,1.54690843496047e-05,8.91761840842732e-06,5.97682380554146e-07,1.35336281488895e-05
1973,8.94047085735967e-06,2.09062389365364e-05,1.260124718371e-05,9.51939839722013e-07,1.91037050485595e-05
1974,1.3615684445461e-05,2.82544730246247e-05,1.78064841207938e-05,1.51617228135417e-06,2.69662756038043e-05
1975,2.07356934412197e-05,3.81855028215564e-05,2.5161864704469e-05,2.41483578144813e-06,3.80648684688086e-05
1976,3.1578947368421e-05,5.16071428571428e-05,3.55555555555556e-05,3.84615384615385e-06,5.37313432835822e-05
1977,4.80924315226975e-05,6.97462910550981e-05,5.02426010835224e-05,6.12584073912181e-06,7.58457172503798e-05
1978,7.32412623759026e-05,9.4261081831411e-05,7.09964708523178e-05,9.75674043788197e-06,0.000107061772025012
1979,0.000111541095855885,0.000127392459349686,0.000100323207094807,1.55397418944078e-05,0.000151125514329266
1980,0.000169868946289834,0.000172169026536182,0.000141764030816738,2.47504358327723e-05,0.000213324706375581
1981,0.000258698004463759,0.000232683895496909,0.00020032294635893,3.94204793152085e-05,0.000301123410909148
1982,0.000393978175383175,0.000314468846765759,0.000283070977925276,6.27857303176514e-05,0.000425057697901695
1983,6e-04,0.000425,4e-04,1e-04,6e-04
1984,0.000913756198931252,0.000574381220453749,0.000565229262189627,0.000159271859217167,0.00084694384262924
1985,0.00139158398514215,0.000776267732729268,0.000798710297088575,0.000253675251384931,0.00119552312094597
1986,0.00211928082126182,0.00104911437111506,0.00112863607981658,0.000404033289254603,0.00168756824334347
1987,0.00322750997950684,0.00141786257147444,0.0015948453466883,0.000643511331652081,0.00238212588786065
1988,0.00491526208481143,0.0019162203158569,0.00225363314653797,0.00102493246219542,0.00336254475515215
1989,0.00748558533228032,0.00258974344395331,0.00318454850165936,0.00163242898825894,0.00474647762656893
1990,0.0114,0.0035,0.0045,0.0026,0.0067
1991,0.0165,0.0068,0.0063,0.0041,0.0095
1992,0.023,0.0129,0.0085,0.0063,0.0132
1993,0.0303,0.0226,0.0112,0.0096,0.0178
1994,0.0373,0.0346,0.0142,0.0138,0.0234
1995,0.0419,0.0443,0.0174,0.0187,0.0294
1996,0.0433,0.046,0.0203,0.0233,0.0346
1997,0.0414,0.0401,0.0224,0.0263,0.038
1998,0.0376,0.0318,0.0233,0.0268,0.0393
1999,0.033,0.0254,0.0228,0.0253,0.0387
2000,0.0286,0.0217,0.0211,0.0228,0.0368
2001,0.0254,0.0204,0.0189,0.0201,0.035
2002,0.023,0.0201,0.0163,0.0179,0.0332
2003,0.0208,0.0204,0.0136,0.0163,0.0318
2004,0.0183,0.0208,0.011,0.0152,0.0309
2005,0.0165,0.0209,0.0084,0.0141,0.0303
2006,0.0153,0.0204,0.0058,0.0134,0.0269
2007,0.0147,0.0193,0.0041,0.0129,0.0246
2008,0.0138,0.0189,0.0039,0.0122,0.0245
2009,0.0129,0.0188,0.0035,0.0118,0.0227
2010,0.0122238236498886,0.018196011769296,0.00286624506397503,0.0112989759784618,0.021456999080634
2011,0.0115830902808973,0.0176114278887425,0.00234724593336035,0.0108192252679539,0.0202820620945518
2012,0.0109759420863897,0.0170456249541312,0.00192222344869416,0.0103598446108625,0.0191714620139277
2013,0.0104006186399548,0.0164979995893818,0.00157416099190763,0.0099199691015875,0.0181216758945928
2014,0.0098554517910505,0.0159679678030975,0.00128912319227351,0.00949877055812884,0.0171293737008733
2015,0.00933886082819997,0.0154549643657927,0.00105569799620276,0.00909545596281506,0.0161914077423557
2016,0.00884934789571851,0.0149584422071284,0.000864539763046999,0.00870926596923765,0.0153048026890703
2017,0.00838549365068027,0.0144778718325129,0.000707995093841029,0.00833947347258058,0.0144667461334214
2018,0.00794595314753301,0.0140127407584449,0.000579796412297254,0.00798538224065315,0.0136745796689245
2019,0.00752945193842794,0.0135625529659978,0.000474811029959267,0.00764632560304875,0.0129257904574524
2020,0.00713478237795773,0.0131268283718615,0.000388835648840471,0.00732166519596144,0.0122180032582389
2021,0.00676080012158821,0.0127051023163788,0.000318428074053294,0.00701078976029729,0.0115489728933575
2022,0.00640642080763096,0.0122969250680286,0.000260769398710379,0.00671311399081736,0.0109165771257726
2023,0.00607061691313625,0.0119018613438298,0.00021355114339696,0.00642807743414585,0.0103188099273732
2024,0.00575241477458979,0.0115194898451519,0.00017488283161936,0.00615514343356832,0.00975377511563367
2025,0.00545089176477512,0.0111494028084399,0.000143216300829419,0.00589379811863349,0.00921968033871639
2026,0.00516517361761558,0.0107912055703721,0.000117283718666596,0.00564354943765619,0.0087148313899373
2027,0.00489443189323952,0.0104445161469885,9.60468227750763e-05,0.00540392623129989,0.00823762683355791
2028,0.00463788157591861,0.0101089648263407,7.86553519112991e-05,0.00517447734549466,0.00778655292485717
2029,0.00439477879791444,0.00978419377422844,6.44130040488514e-05,0.00495477078202023,0.00736017880836863
