DATE,Botswana,Lesotho,Namibia,SouthAfrica,Swaziland
1950,0.010638929,0.015636702,0.008823171,0.423925949,0.005444545
1951,0.011028219,0.016063369,0.009352211,0.430641993,0.005727357
1952,0.011417509,0.016490036,0.009881252,0.437358037,0.006010169
1953,0.011806799,0.016916704,0.010410292,0.444074081,0.006292981
1954,0.01219609,0.017343371,0.010939333,0.450790125,0.006575793
1955,0.01258538,0.017770039,0.011468373,0.457506169,0.006858605
1956,0.01297467,0.018196706,0.011997413,0.464222213,0.007141417
1957,0.01336396,0.018623373,0.012526454,0.470938258,0.007424229
1958,0.013762505,0.019070293,0.013070137,0.477774402,0.007719676
1959,0.01416105,0.019517213,0.01361382,0.484610547,0.008015124
1960,0.014559594,0.019964133,0.014157504,0.491446691,0.008310571
1961,0.014958139,0.020411052,0.014701187,0.498282836,0.008606018
1962,0.015356684,0.020857972,0.01524487,0.50511898,0.008901466
1963,0.015764516,0.021325279,0.015803252,0.512075483,0.009209627
1964,0.016172348,0.021792586,0.016361635,0.519031985,0.009517788
1965,0.01658018,0.022259892,0.016920017,0.525988488,0.00982595
1966,0.016988012,0.022727199,0.0174784,0.53294499,0.010134111
1967,0.017395844,0.023194506,0.018036782,0.539901493,0.010442272
1968,0.017909078,0.023711811,0.018445461,0.552796936,0.010747774
1969,0.018422312,0.024229117,0.01885414,0.56569238,0.011053275
1970,0.018935546,0.024746423,0.019262818,0.578587824,0.011358777
1971,0.01944878,0.025263729,0.019671497,0.591483267,0.011664279
1972,0.019962014,0.025781035,0.020080176,0.604378711,0.01196978
1973,0.020458445,0.026407001,0.020611578,0.619178812,0.012356143
1974,0.020954875,0.027032967,0.02114298,0.633978912,0.012742507
1975,0.021451306,0.027658933,0.021674383,0.648779013,0.01312887
1976,0.021947737,0.028284899,0.022205785,0.663579113,0.013515233
1977,0.022444168,0.028910866,0.022737187,0.678379214,0.013901596
1978,0.023128669,0.029713224,0.023452861,0.685686865,0.014410333
1979,0.02381317,0.030515583,0.024168535,0.692994516,0.01491907
1980,0.024497671,0.031317942,0.024884209,0.700302167,0.015427807
1981,0.025182172,0.032120301,0.025599883,0.707609818,0.015936543
1982,0.025866673,0.03292266,0.026315557,0.714917469,0.01644528
1983,0.026763535,0.033889866,0.027459383,0.73425687,0.017052757
1984,0.027660397,0.034857073,0.028603208,0.753596272,0.017660234
1985,0.028557259,0.035824279,0.029747034,0.772935674,0.018267711
1986,0.029454121,0.036791486,0.030890859,0.792275075,0.018875188
1987,0.030350983,0.037758692,0.032034685,0.811614477,0.019482665
1988,0.031580351,0.038787842,0.032945463,0.826102789,0.02013809
1989,0.032809719,0.039816991,0.033856241,0.840591101,0.020793516
1990,0.034039087,0.04084614,0.034767019,0.855079413,0.021448941
1991,0.035268455,0.041875289,0.035677797,0.869567725,0.022104367
1992,0.036497823,0.042904438,0.036588575,0.884056037,0.022759793
1993,0.037558218,0.043930648,0.037137889,0.898924227,0.023555312
1994,0.038618613,0.044956858,0.037687204,0.913792417,0.024350831
1995,0.039679008,0.045983068,0.038236518,0.928660606,0.02514635
1996,0.040739402,0.047009278,0.038785832,0.943528796,0.025941869
1997,0.041799797,0.048035488,0.039335146,0.958396986,0.026737388
1998,0.042226771,0.048646885,0.04044355,0.967589806,0.027742205
1999,0.042653745,0.049258282,0.041551954,0.976782626,0.028747022
2000,0.04308072,0.049869678,0.042660358,0.985975447,0.029751839
2001,0.043507694,0.050481075,0.043768761,0.995168267,0.030756656
2002,0.043934668,0.051092472,0.044877165,1.004361087,0.031761473
2003,0.043970399,0.051542061,0.046099229,1.002711965,0.031913415
2004,0.044006131,0.05199165,0.047321293,1.001062843,0.032065357
2005,0.044041863,0.052441239,0.048543358,0.999413721,0.032217298
2006,0.044077594,0.052890828,0.049765422,0.997764599,0.03236924
2007,0.044113326,0.053340417,0.050987486,0.996115478,0.032521182
2008,0.043939249,0.053717761,0.051487022,0.995464258,0.032046931
2009,0.043765172,0.054095105,0.051986557,0.994813039,0.03157268
2010,0.043591095,0.054472449,0.052486093,0.99416182,0.03109843
2011,0.043417017,0.054849793,0.052985629,0.9935106,0.030624179
2012,0.04324294,0.055227136,0.053485164,0.992859381,0.030149928
2013,0.042929251,0.054789857,0.053784473,0.996145883,0.030025461
2014,0.042615563,0.054352578,0.054083781,0.999432384,0.029900995
2015,0.042301874,0.053915299,0.05438309,1.002718886,0.029776529
2016,0.041988185,0.053478019,0.054682398,1.006005388,0.029652062
2017,0.041674496,0.05304074,0.054981707,1.009291889,0.029527596
2018,0.042135311,0.052985019,0.05524186,1.003681511,0.029635601
2019,0.042596126,0.052929299,0.055502013,0.998071133,0.029743606
2020,0.04305694,0.052873578,0.055762166,0.992460755,0.029851611
2021,0.043517755,0.052817858,0.056022319,0.986850376,0.029959617
2022,0.04397857,0.052762137,0.056282472,0.981239998,0.030067622
2023,0.044110206,0.053114025,0.056521556,0.979188152,0.030363753
2024,0.044241843,0.053465913,0.05676064,0.977136305,0.030659884
2025,0.04437348,0.053817801,0.056999724,0.975084459,0.030956015
2026,0.044505116,0.054169688,0.057238808,0.973032612,0.031252146
2027,0.044636753,0.054521576,0.057477892,0.970980766,0.031548277
2028,0.044511356,0.054606806,0.057692316,0.965210345,0.031604651
2029,0.044385959,0.054692035,0.057906739,0.959439924,0.031661026
2030,0.044260562,0.054777265,0.058121163,0.953669503,0.0317174
2031,0.044135164,0.054862494,0.058335586,0.947899083,0.031773774
2032,0.044009767,0.054947724,0.058550009,0.942128662,0.031830148
2033,0.04367019,0.054714139,0.05867947,0.936609264,0.031683044
2034,0.043330614,0.054480554,0.05880893,0.931089866,0.03153594
2035,0.042991037,0.05424697,0.05893839,0.925570468,0.031388836
