ParamName,BcValue,PSAmean,Lower,Upper,Logit=1
CR1950,11,11,8,14,0
muIn,0.21,0.21,0.18,0.25,0
muIp,0.3,0.3,0.2,0.4,0
muH1,0.008,0.008,0.004,0.011,0
muH2,0.03,0.03,0.015,0.045,0
muH3,0.23,0.23,0.11,0.34,0
muT1,0.008,0.008,0.004,0.011,0
muT2,0.023,0.023,0.011,0.034,0
muT3,0.05,0.05,0.023,0.068,0
muTBH,0.8,0.8,0.4,1.2,0
TunRelFit,0.2703,0.2703,0.1351,0.4054,1
TunAR,1,1,0.5,1.5,0
TrIn,0.22,0.22,0.1,0.35,0
TunHAART,0.7,0.7,0.5,0.9,1
pfastN,0.115,0.115,0.09,0.14,1
pfastH1,0.33,0.33,0.17,0.5,1
pfastH2,0.67,0.67,0.51,0.84,1
pfastH3,0.95,0.95,0.7,1,1
pToIpN,0.62,0.62,0.43,0.81,1
pToIpH1,0.45,0.45,0.23,0.68,1
pToIpH2,0.35,0.35,0.18,0.53,1
pToIpH3,0.35,0.35,0.18,0.53,1
rBreakDN,0.001,0.001,0.0005,0.0025,0
rBreakDH1,0.003,0.003,0.001,0.005,0
rBreakDH2,0.09,0.09,0.05,0.12,0
rBreakDH3,0.17,0.17,0.09,0.26,0
rNtoP,0.015,0.015,0.007,0.02,0
rIToLsN,0.2,0.2,0.15,0.25,0
rIToLsH1,0.1,0.1,0.05,0.15,0
rIToLsH2,0,0,0,0,0
rIToLsH3,0,0,0,0,0
PartImN,0.65,0.65,0.4,0.9,1
PartImH1,0.45,0.45,0.23,0.68,1
PartImH2,0.25,0.25,0.13,0.38,1
PartImH3,0.25,0.25,0.13,0.38,1
H1toH2,0.134,0.134,0.07,0.2,0
H2toH3,0.505,0.505,0.25,0.76,0
rArtSU,1.05,1.05,1.05,1.05,0
SpecSpSL,0.974,0.974,0.964,0.981,1
SensXrIn,0.625,0.625,0.437,0.789,1
SensXrIp,0.938,0.938,0.882,0.973,1
SpecXrSL,0.959,0.959,0.949,0.967,1
SensCuIn,1,1,1,1,1
SensCuIp,1,1,1,1,1
SpecCuSL,0.984,0.984,0.978,0.989,1
SensXpIn,0.725,0.725,0.654,0.787,1
SensXpIp,0.982,0.982,0.968,0.99,1
SpecXpSL,0.992,0.992,0.981,0.996,1
SensXpRIF,0.976,0.976,0.944,0.99,1
SpecXpRIF,0.981,0.981,0.965,0.989,1
DwtTB,0.271,0.271,0.136,0.407,1
DwtH1,0.135,0.135,0.068,0.203,1
DwtH2,0.32,0.32,0.16,0.48,1
DwtH3,0.505,0.505,0.253,0.758,1
DwtT1,0.135,0.135,0.068,0.203,1
DwtT2,0.151,0.151,0.076,0.227,1
DwtT3,0.167,0.167,0.084,0.251,1
dr,0.03,0.03,0.03,0.03,0
CRr,0.007,0.007,0,0.014,0
TunTst1990,1,1,0,2,0
TunTst2010,1,1,0,2,0
NDTunTst1990,0.2,0.2,0,0.4,0
NDTunTst2010,0.2,0.2,0,0.4,0
TunTxSuc,1,1,0.5,1.5,0
pReTx,0.5,0.5,0.25,0.75,1
TunTxDef,1,1,0.5,1.5,0
TunTxMort,1,1,0.5,1.5,0
pDefND,0.58,0.58,0.29,0.87,1
TunrHIV,1,1,0.95,1.05,0
pLtfuS,0.15,0.15,0.08,0.23,1
pLtfuL,0.25,0.25,0.13,0.38,1
TxEf1,0.83,0.83,0.74,0.91,1
TxEf2,0.44,0.44,0.22,0.66,1
TxEf3,0.93,0.93,0.89,0.96,1
TxEf4,0.44,0.44,0.22,0.66,1
TxEf5,0.73,0.73,0.59,0.86,1
TxEf6,0.44,0.44,0.22,0.66,1
ARr1,0.02,0.02,0.01,0.03,0
ARr2,0.0032,0.0032,0.002,0.005,0
ARr3,0.01,0.01,0.005,0.015,0
ARr4,0.02,0.02,0.01,0.03,0
ARr5,0.23,0.23,0.12,0.34,0
ARr6,0.02,0.02,0.01,0.03,0
ARr7,0.23,0.23,0.12,0.34,0
ARrND,3,3,1.5,4.5,0
Nvis1L,5.9,5.9,3,8.9,0
Nvis2L,22.3,22.3,11.2,33.4,0
Nsmr1L,1,1,0.5,1.5,0
Nsmr2L,1,1,0.5,1.5,0
Ncul1L,0,0,0,0,0
Ncul2L,0.43,0.43,0.22,0.65,0
Nxry1L,0,0,0,0,0
Nxry2L,0.14,0.14,0.07,0.21,0
NipdMDR,5.71,5.71,2.86,8.57,0
TunRegCost,1,1,0.5,1.5,0
Creg1,5.86,5.86,5.86,5.86,0
Creg2,18.02,18.02,18.02,18.02,0
Creg3,33.91,33.91,33.91,33.91,0
Creg4,119.37,119.37,119.37,119.37,0
Creg5,179.06,179.06,179.06,179.06,0
ArtFutCov,0.8,0.8,0.5,0.99,1
pDstRBotswana,0.8,0.8,0.7,0.9,1
pDstRLesotho,0.8,0.8,0.7,0.9,1
pDstRNamibia,0.8,0.8,0.7,0.9,1
pDstRSouthAfrica,0.8,0.8,0.7,0.9,1
pDstRSwaziland,0.8,0.8,0.7,0.9,1
pCulUBotswana,0.2,0.2,0.1,0.3,1
pCulULesotho,0.2,0.2,0.1,0.3,1
pCulUNamibia,0.2,0.2,0.1,0.3,1
pCulUSouthAfrica,0.2,0.2,0.1,0.3,1
pCulUSwaziland,0.2,0.2,0.1,0.3,1
pCulRBotswana,0.8,0.8,0.7,0.9,1
pCulRLesotho,0.8,0.8,0.7,0.9,1
pCulRNamibia,0.8,0.8,0.7,0.9,1
pCulRSouthAfrica,0.8,0.8,0.7,0.9,1
pCulRSwaziland,0.8,0.8,0.7,0.9,1
rTstSLBotswana,0.015,0.015,0.0075,0.0225,0
rTstSLLesotho,0.015,0.015,0.0075,0.0225,0
rTstSLNamibia,0.015,0.015,0.0075,0.0225,0
rTstSLSouthAfrica,0.015,0.015,0.0075,0.0225,0
rTstSLSwaziland,0.015,0.015,0.0075,0.0225,0
CXptBotswana,31.99,31.99,15.99,47.98,0
CXptLesotho,21.22,21.22,10.61,31.83,0
CXptNamibia,28.86,28.86,14.43,43.29,0
CXptSouthAfrica,31.25,31.25,15.62,46.87,0
CXptSwaziland,24.75,24.75,12.37,37.12,0
CSmrBotswana,6.13,6.13,3.9,8.38,0
CSmrLesotho,3.31,3.31,2.11,4.53,0
CSmrNamibia,5.31,5.31,3.38,7.26,0
CSmrSouthAfrica,5.94,5.94,3.78,8.11,0
CSmrSwaziland,4.24,4.24,2.7,5.79,0
CXryBotswana,16.69,16.69,10.52,22.87,0
CXryLesotho,9.03,9.03,5.69,12.36,0
CXryNamibia,14.46,14.46,9.12,19.81,0
CXrySouthAfrica,16.16,16.16,10.19,22.14,0
CXrySwaziland,11.54,11.54,7.27,15.8,0
CCltrBotswana,15.83,15.83,12.87,18.79,0
CCltrLesotho,8.56,8.56,6.96,10.16,0
CCltrNamibia,13.72,13.72,11.15,16.28,0
CCltrSouthAfrica,15.33,15.33,12.46,18.19,0
CCltrSwaziland,10.94,10.94,8.89,12.98,0
CDstBotswana,81.97,81.97,59.1,104.83,0
CDstLesotho,44.32,44.32,31.96,56.68,0
CDstNamibia,71.02,71.02,51.21,90.82,0
CDstSouthAfrica,79.37,79.37,57.23,101.5,0
CDstSwaziland,56.65,56.65,40.85,72.45,0
CVisSBotswana,6.85,6.85,3.43,10.28,0
CVisSLesotho,1.95,1.95,0.98,2.93,0
CVisSNamibia,5.31,5.31,2.66,7.97,0
CVisSSouthAfrica,6.85,6.85,3.42,10.27,0
CVisSSwaziland,4.13,4.13,2.06,6.19,0
CVisLBotswana,10.32,10.32,5.16,15.47,0
CVisLLesotho,2.94,2.94,1.47,4.41,0
CVisLNamibia,7.99,7.99,4,11.99,0
CVisLSouthAfrica,10.31,10.31,5.15,15.46,0
CVisLSwaziland,6.21,6.21,3.1,9.31,0
CArtBotswana,104.97,104.97,83.13,126.81,0
CArtLesotho,69.63,69.63,56.28,82.98,0
CArtNamibia,94.69,94.69,75.32,114.06,0
CArtSouthAfrica,102.53,102.53,81.28,123.78,0
CArtSwaziland,81.2,81.2,65.07,97.34,0
CIpdBotswana,38.99,38.99,19.49,58.48,0
CIpdLesotho,8.78,8.78,4.39,13.17,0
CIpdNamibia,28.76,28.76,14.38,43.14,0
CIpdSouthAfrica,39.38,39.38,19.69,59.07,0
CIpdSwaziland,21.91,21.91,10.96,32.87,0
